id,name,totalDocks,streetAddress,streetAddress/address2,neighborhood,postalCode,latitude,longitude,loc,entityTitle,@context,@type,@id
239,Wiloughby St & Fleet St,31,Wiloughby St & Fleet St,,Fort Greene,11201,40.69196566,-73.9813018,"[ -73.9813018, 40.69196566 ]",wiloughby_st_fleet_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/wiloughby_st_fleet_st
241,DeKalb Ave & S Portland Ave,23,DeKalb Ave & S Portland Ave,,Fort Greene,11201,40.68981035,-73.97493121,"[ -73.97493120999999, 40.68981035 ]",dekalb_ave_s_portland_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/dekalb_ave_s_portland_ave
242,Flushing Ave & Carlton Ave,23,Flushing Ave & Carlton Ave,,Fort Greene,11205,40.69788349,-73.97350332,"[ -73.97350332000001, 40.69788349 ]",flushing_ave_carlton_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/flushing_ave_carlton_ave
243,Fulton St & Rockwell Pl,39,Fulton St & Rockwell Pl,,Fort Greene,11217,40.688265,-73.979244,"[ -73.97924399999999, 40.688265 ]",fulton_st_rockwell_pl,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/fulton_st_rockwell_pl
244,Willoughby Ave & Hall St,31,Willoughby Ave & Hall St,,Clinton Hill,11205,40.69196035,-73.96536851,"[ -73.96536851, 40.69196035 ]",willoughby_ave_hall_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/willoughby_ave_hall_st
245,Myrtle Ave & St Edwards St,23,Myrtle Ave & St Edwards St,,Fort Greene,11201,40.69327018,-73.97703874,"[ -73.97703874, 40.69327018 ]",myrtle_ave_st_edwards_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/myrtle_ave_st_edwards_st
247,Perry St & Bleecker St,20,Perry St & Bleecker St,,West Village,10014,40.73535398,-74.00483091,"[ -74.00483091, 40.73535398 ]",perry_st_bleecker_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/perry_st_bleecker_st
248,Laight St & Hudson St,21,Laight St & Hudson St,,Tribeca,10013,40.72185379,-74.00771779,"[ -74.00771779, 40.72185379 ]",laight_st_hudson_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/laight_st_hudson_st
249,Harrison St & Hudson St,27,Harrison St & Hudson St,,Tribeca,10013,40.71870987,-74.0090009,"[ -74.0090009, 40.71870987 ]",harrison_st_hudson_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/harrison_st_hudson_st
250,Lafayette St & Jersey St,39,Lafayette St & Jersey St,,Nolita,10012,40.72456089,-73.99565293,"[ -73.99565293000001, 40.72456089 ]",lafayette_st_jersey_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/lafayette_st_jersey_st
251,Mott St & Prince St,27,Mott St & Prince St,,Nolita,10012,40.72317958,-73.99480012,"[ -73.99480011999999, 40.72317958 ]",mott_st_prince_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/mott_st_prince_st
252,MacDougal St & Washington Sq,33,MacDougal St & Washington Sq,,Greenwich Village,10011,40.73226398,-73.99852205,"[ -73.99852205000001, 40.73226398 ]",macdougal_st_washington_sq,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/macdougal_st_washington_sq
253,W 13 St & 5 Ave,47,W 13 St & 5 Ave,,Greenwich Village,10011,40.73543934,-73.99453948,"[ -73.99453948, 40.73543934 ]",w_13_st_5_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_13_st_5_ave
254,W 11 St & 6 Ave,31,W 11 St & 6 Ave,,Greenwich Village,10011,40.73532427,-73.99800419,"[ -73.99800419, 40.73532427 ]",w_11_st_6_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_11_st_6_ave
257,Lispenard St & Broadway,39,Lispenard St & Broadway,,Tribeca,10013,40.71939226,-74.00247214,"[ -74.00247213999999, 40.71939226 ]",lispenard_st_broadway,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/lispenard_st_broadway
258,DeKalb Ave & Vanderbilt Ave,23,DeKalb Ave & Vanderbilt Ave,,Clinton Hill,11205,40.68940747,-73.96885458,"[ -73.96885458, 40.68940747 ]",dekalb_ave_vanderbilt_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/dekalb_ave_vanderbilt_ave
259,South St & Whitehall St,39,South St & Whitehall St,,Financial District,10004,40.70122128,-74.01234218,"[ -74.01234218, 40.70122128 ]",south_st_whitehall_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/south_st_whitehall_st
260,Broad St & Bridge St,35,Broad St & Bridge St,,Financial District,10004,40.70365182,-74.01167797,"[ -74.01167796999999, 40.70365182 ]",broad_st_bridge_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/broad_st_bridge_st
261,Johnson St & Gold St,27,Johnson St & Gold St,,Downtown Brooklyn,11201,40.69474881,-73.98362464,"[ -73.98362464, 40.69474881 ]",johnson_st_gold_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/johnson_st_gold_st
262,Washington Park,24,Washington Park,,Fort Greene,11201,40.69178232,-73.97372989,"[ -73.97372989, 40.69178232 ]",washington_park,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/washington_park
263,Elizabeth St & Hester St,31,Elizabeth St & Hester St,,Chinatown,10013,40.71729,-73.996375,"[ -73.996375, 40.71729 ]",elizabeth_st_hester_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/elizabeth_st_hester_st
264,Maiden Ln & Pearl St,27,Maiden Ln & Pearl St,,Financial District,10005,40.70706456,-74.00731853,"[ -74.00731853000001, 40.70706456 ]",maiden_ln_pearl_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/maiden_ln_pearl_st
265,Stanton St & Chrystie St,34,Stanton St & Chrystie St,,Lower East Side,10002,40.72229346,-73.99147535,"[ -73.99147535, 40.72229346 ]",stanton_st_chrystie_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/stanton_st_chrystie_st
266,Avenue D & E 8 St,24,Avenue D & E 8 St,,East Village,10009,40.72368361,-73.97574813,"[ -73.97574813, 40.72368361 ]",avenue_d_e_8_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/avenue_d_e_8_st
267,Broadway & W 36 St,57,Broadway & W 36 St,,Koreatown,10018,40.75097711,-73.98765428,"[ -73.98765428, 40.75097711 ]",broadway_w_36_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/broadway_w_36_st
268,Howard St & Centre St,27,Howard St & Centre St,,SoHo,10013,40.71910537,-73.99973337,"[ -73.99973337, 40.71910537 ]",howard_st_centre_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/howard_st_centre_st
270,Adelphi St & Myrtle Ave,23,Adelphi St & Myrtle Ave,,Fort Greene,11205,40.69308257,-73.97178913,"[ -73.97178913, 40.69308257 ]",adelphi_st_myrtle_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/adelphi_st_myrtle_ave
271,Ashland Pl & Hanson Pl,39,Ashland Pl & Hanson Pl,,Fort Greene,11217,40.68528172,-73.97805813,"[ -73.97805812999999, 40.68528172 ]",ashland_pl_hanson_pl,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/ashland_pl_hanson_pl
274,Lafayette Ave & Fort Greene Pl,31,Lafayette Ave & Fort Greene Pl,,Fort Greene,11217,40.68691865,-73.976682,"[ -73.976682, 40.68691865 ]",lafayette_ave_fort_greene_pl,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/lafayette_ave_fort_greene_pl
275,Washington Ave & Greene Ave,19,Washington Ave & Greene Ave,,Clinton Hill,11238,40.68650065,-73.96563307,"[ -73.96563307, 40.68650065 ]",washington_ave_greene_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/washington_ave_greene_ave
276,Duane St & Greenwich St,25,Duane St & Greenwich St,,Tribeca,10013,40.71748752,-74.0104554,"[ -74.0104554, 40.71748752 ]",duane_st_greenwich_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/duane_st_greenwich_st
278,Concord St & Bridge St,19,Concord St & Bridge St,,Downtown Brooklyn,11201,40.69766564,-73.98476437,"[ -73.98476436999999, 40.69766564 ]",concord_st_bridge_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/concord_st_bridge_st
279,Sands St & Gold St,19,Sands St & Gold St,,Vinegar Hill,11201,40.69986937,-73.98271933,"[ -73.98271932999999, 40.69986937 ]",sands_st_gold_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/sands_st_gold_st
280,E 10 St & 5 Ave,31,E 10 St & 5 Ave,,Greenwich Village,10003,40.73331967,-73.99510132,"[ -73.99510132, 40.73331967 ]",e_10_st_5_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_10_st_5_ave
281,Grand Army Plaza & Central Park S,59,Grand Army Plaza & Central Park S,,Midtown,10019,40.7643971,-73.97371465,"[ -73.97371465000001, 40.7643971 ]",grand_army_plaza_central_park_s,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/grand_army_plaza_central_park_s
282,Kent Ave & S 11 St,27,Kent Ave & S 11 St,,Williamsburg,11211,40.70827295,-73.96834101,"[ -73.96834101, 40.70827295 ]",kent_ave_s_11_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/kent_ave_s_11_st
284,Greenwich Ave & 8 Ave,43,Greenwich Ave & 8 Ave,,Meat Packing District,10014,40.73901691,-74.00263761,"[ -74.0026376103, 40.7390169121 ]",greenwich_ave_8_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/greenwich_ave_8_ave
285,Broadway & E 14 St,44,Broadway & E 14 St,,East Village,10003,40.73454567,-73.99074142,"[ -73.99074142000001, 40.73454567 ]",broadway_e_14_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/broadway_e_14_st
289,Monroe St & Classon Ave,19,Monroe St & Classon Ave,,Bedford-Stuyvesant,11238,40.6845683,-73.95881081,"[ -73.95881081, 40.6845683 ]",monroe_st_classon_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/monroe_st_classon_ave
290,2 Ave & E 58 St,29,2 Ave & E 58 St,,Midtown,10022,40.76020258,-73.96478473,"[ -73.96478473000001, 40.76020258 ]",2_ave_e_58_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/2_ave_e_58_st
291,Madison St & Montgomery St,20,Madison St & Montgomery St,,Lower East Side,10002,40.713126,-73.984844,"[ -73.984844, 40.713126 ]",madison_st_montgomery_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/madison_st_montgomery_st
293,Lafayette St & E 8 St,55,Lafayette St & E 8 St,,East Village,10003,40.73028666,-73.9907647,"[ -73.9907647, 40.73028666 ]",lafayette_st_e_8_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/lafayette_st_e_8_st
294,Washington Square E,31,Washington Square E,,Greenwich Village,10003,40.73049393,-73.9957214,"[ -73.99572139999999, 40.73049393 ]",washington_square_e,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/washington_square_e
295,Pike St & E Broadway,24,Pike St & E Broadway,,Chinatown,10002,40.71406667,-73.99293911,"[ -73.99293910999999, 40.71406667 ]",pike_st_e_broadway,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/pike_st_e_broadway
296,Division St & Bowery,35,Division St & Bowery,,Chinatown,10002,40.71413089,-73.9970468,"[ -73.99704680000001, 40.71413089 ]",division_st_bowery,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/division_st_bowery
297,E 15 St & 3 Ave,27,E 15 St & 3 Ave,,Gramercy,10003,40.734232,-73.986923,"[ -73.986923, 40.734232 ]",e_15_st_3_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_15_st_3_ave
298,3 Ave & Flatbush Ave,35,3 Ave & Flatbush Ave,,Boerum Hill,11217,40.68683208,-73.9796772,"[ -73.9796772, 40.68683208 ]",3_ave_flatbush_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/3_ave_flatbush_ave
300,Taras Shevchenko Pl & E 6 St,55,Taras Shevchenko Pl & E 6 St,,East Village,10003,40.728145,-73.990214,"[ -73.99021399999999, 40.728145 ]",taras_shevchenko_pl_e_6_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/taras_shevchenko_pl_e_6_st
301,E 2 St & Avenue B,37,E 2 St & Avenue B,,East Village,10009,40.72217444,-73.98368779,"[ -73.98368779, 40.72217444 ]",e_2_st_avenue_b,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_2_st_avenue_b
