Carrier,Month,Day,Weekday,Departure (hhhh),Air Time (min),Arrival (hhhh),Distance (miles),Total Delay (min),Status
6,1,15,3,914,45,1033,273,0,0
6,1,15,3,957,292,1206,2248,0,0
6,1,15,3,921,159,1241,944,22,1
6,1,15,3,952,321,1243,2475,22,1
6,1,15,3,918,50,1052,264,5,1
6,1,16,4,913,133,1205,828,65,1
6,1,16,4,935,46,1051,266,10,1
6,1,21,2,929,45,1101,209,19,1
6,1,21,2,916,45,1051,273,17,1
6,1,21,2,934,40,1116,266,38,1
6,1,21,2,907,209,1225,1521,2,1
6,1,21,2,956,310,1257,2248,11,1
6,1,21,2,924,149,1306,944,47,1
6,1,21,2,918,47,1050,264,3,1
6,1,21,2,928,344,1310,2475,24,1
6,1,26,7,955,46,1101,266,44,1
6,1,26,7,931,47,1044,273,20,1
6,1,26,7,928,52,1049,209,7,1
6,1,26,7,922,54,1052,264,5,1
6,1,26,7,951,150,1242,944,49,1
6,1,26,7,917,229,1236,1521,22,1
6,1,26,7,959,333,1300,2248,14,1
6,1,26,7,909,161,1221,1005,81,1
6,1,26,7,931,360,1304,2475,19,1
5,1,4,6,922,352,1301,2586,168,1
5,1,20,1,913,363,1240,2586,138,1
5,1,26,7,918,35,1030,187,158,1
6,1,28,2,925,342,1243,2475,0,0
6,1,28,2,914,361,1244,2586,48,1
6,1,29,3,940,45,1102,266,26,1
6,1,29,3,929,45,1058,209,16,1
6,1,29,3,917,48,1038,273,4,1
6,1,29,3,925,168,1304,944,45,1
6,1,29,3,952,316,1257,2248,11,1
6,1,27,1,926,74,1104,427,172,1
6,1,27,1,901,238,1235,1521,9,1
6,1,27,1,923,58,1052,264,5,1
6,1,27,1,900,162,1217,1069,9,1
6,1,27,1,951,323,1235,2248,0,0
6,1,27,1,959,141,1238,944,53,1
6,1,27,1,937,43,1040,266,9,1
6,1,27,1,941,334,1236,2475,11,1
6,1,28,2,912,43,1014,273,0,0
6,1,28,2,924,43,1036,266,0,0
6,1,28,2,935,51,1047,209,10,1
6,1,28,2,919,56,1046,264,0,0
6,1,28,2,921,148,1221,944,2,1
7,1,1,3,919,355,1240,2475,30,1
7,1,1,3,906,347,1216,2422,165,1
6,1,27,1,911,40,1034,273,0,0
6,1,30,4,937,50,1045,264,12,1
6,1,30,4,926,154,1222,944,4,1
6,1,30,4,907,211,1157,1521,2,1
6,1,30,4,932,360,1300,2475,16,1
6,1,31,5,925,49,1035,266,0,0
6,1,31,5,926,47,1032,209,0,0
6,1,31,5,911,49,1017,273,0,0
6,1,31,5,959,356,1330,2248,44,1
6,1,31,5,904,224,1213,1521,0,0
6,1,31,5,902,159,1206,1069,2,1
6,1,31,5,917,143,1156,944,0,0
6,1,31,5,917,57,1031,264,0,0
6,1,31,5,927,372,1258,2475,12,1
6,1,29,3,944,336,1320,2475,48,1
6,1,29,3,917,54,1055,264,8,1
6,1,30,4,939,171,1142,1182,317,1
6,1,30,4,924,45,1025,266,0,0
6,1,30,4,927,45,1031,209,0,0
6,1,30,4,921,51,1022,273,0,0
7,1,2,4,901,343,1235,2475,9,1
7,1,2,4,954,349,1309,2586,0,0
7,1,2,4,904,201,1406,1598,21,1
7,1,6,1,936,200,1412,1598,38,1
6,1,19,7,927,325,1217,2475,0,0
6,1,20,1,927,47,1028,209,0,0
6,1,20,1,923,46,1024,266,0,0
6,1,20,1,915,44,1011,273,0,0
6,1,20,1,957,320,1233,2248,0,0
6,1,20,1,922,52,1030,264,0,0
6,1,20,1,940,142,1229,944,25,1
6,1,20,1,900,221,1213,1521,0,0
6,1,24,5,928,46,1034,209,0,0
6,1,24,5,919,56,1041,266,0,0
6,1,24,5,905,219,1201,1521,0,0
6,1,24,5,900,177,1228,1069,20,1
6,1,24,5,924,150,1221,944,2,1
6,1,24,5,923,58,1056,264,9,1
6,1,24,5,938,318,1225,2475,8,1
6,1,25,6,926,44,1036,209,0,0
6,1,25,6,924,40,1031,266,0,0
6,1,25,6,945,52,1101,264,34,1
6,1,25,6,928,145,1229,944,13,1
6,1,25,6,906,162,1233,1069,31,1
7,1,8,3,948,320,1302,2475,80,1
7,1,8,3,932,201,1410,1598,52,1
7,1,8,3,918,178,1231,1069,119,1
7,1,9,4,911,194,1348,1598,11,1
7,1,9,4,956,349,1309,2586,0,0
7,1,6,1,900,176,1235,1069,105,1
7,1,11,6,957,345,1417,2586,46,1
7,1,13,1,959,351,1308,2586,0,0
7,1,9,4,938,178,1302,1069,170,1
7,1,10,5,900,346,1228,2475,0,0
7,1,10,5,910,193,1410,1598,30,1
7,1,10,5,956,357,1323,2586,0,0
7,1,12,7,958,374,1330,2586,0,0
7,1,14,2,957,328,1249,2586,0,0
7,1,13,1,918,150,1216,1089,128,1
7,1,16,4,904,210,1421,1598,35,1
7,1,16,4,954,337,1301,2586,0,0
7,1,17,5,902,201,1347,1598,2,1
7,1,18,6,958,321,1238,2586,0,0
7,1,20,1,953,361,1320,2586,0,0
7,1,23,4,929,333,1247,2475,43,1
7,1,23,4,938,209,1442,1598,90,1
7,1,23,4,958,350,1313,2586,0,0
7,1,24,5,955,341,1258,2586,0,0
7,1,24,5,901,333,1220,2475,1,1
7,1,18,6,935,169,1256,1089,184,1
7,1,19,7,952,337,1248,2586,0,0
7,1,27,1,959,355,1323,2586,0,0
7,1,26,7,913,190,1403,1598,26,1
7,1,26,7,958,383,1350,2586,15,1
7,1,25,6,900,198,1402,1598,16,1
7,1,25,6,955,335,1251,2586,0,0
7,1,29,3,900,191,1342,1598,0,0
7,1,28,2,952,349,1305,2586,0,0
7,1,28,2,934,138,1420,760,255,1
7,1,30,4,901,347,1211,2475,1,1
7,1,30,4,954,387,1342,2586,7,1
7,1,31,5,900,190,1337,1598,0,0
7,1,31,5,957,378,1336,2586,1,1
6,1,22,3,931,141,1240,1005,122,1
6,1,23,4,922,49,1047,266,3,1
6,1,23,4,930,46,1048,273,23,1
6,1,23,4,915,163,1232,1041,216,1
6,1,23,4,947,271,1355,1521,131,1
6,1,23,4,928,52,1057,264,13,1
6,1,23,4,919,159,1234,1069,45,1
6,1,23,4,953,336,1300,2475,37,1
6,1,24,5,916,56,1035,273,1,1
7,1,15,3,900,202,1357,1598,7,1
7,1,15,3,959,330,1255,2586,0,0
8,1,1,3,906,639,1503,4983,6,1
8,1,2,4,901,646,1543,4983,34,1
8,1,7,2,903,654,1519,4983,12,1
8,1,8,3,914,649,1553,4983,57,1
8,1,10,5,905,642,1514,4983,9,1
8,1,14,2,902,607,1438,4983,2,1
8,1,16,4,917,609,1509,4983,17,1
8,1,18,6,902,620,1446,4983,2,1
8,1,23,4,920,668,1609,4983,79,1
8,1,24,5,903,622,1451,4983,3,1
8,1,25,6,907,630,1523,4983,20,1
8,1,26,7,938,681,1626,4983,114,1
8,1,27,1,905,666,1543,4983,38,1
8,1,30,4,901,633,1453,4983,1,1
0,1,6,1,950,176,1308,1005,273,1
0,1,12,7,905,140,1155,1005,155,1
0,1,2,4,934,45,1043,213,137,1
0,1,6,1,924,51,1044,213,128,1
0,1,7,2,950,44,1120,213,190,1
0,1,8,3,900,46,1014,213,5,1
0,1,12,7,907,42,1033,213,30,1
0,1,13,1,940,45,1048,213,78,1
0,1,20,1,914,41,1014,213,19,1
5,10,6,1,900,313,1132,2475,0,0
5,10,16,4,900,322,1201,2475,0,0
5,10,22,3,941,309,1252,2475,83,1
5,10,16,4,920,105,1050,740,155,1
5,10,1,3,954,336,1257,2475,0,0
5,10,3,5,954,329,1253,2475,0,0
5,10,4,6,954,328,1301,2475,1,1
5,10,5,7,949,332,1243,2475,0,0
5,10,6,1,955,315,1239,2475,0,0
5,10,7,2,951,336,1300,2475,0,0
5,10,9,4,956,334,1305,2475,5,1
5,10,10,5,954,326,1245,2475,0,0
5,10,11,6,953,325,1237,2475,0,0
5,10,12,7,955,317,1251,2475,0,0
5,10,13,1,951,320,1249,2475,0,0
5,10,15,3,955,316,1252,2475,0,0
5,10,17,5,955,347,1259,2475,0,0
5,10,18,6,954,324,1257,2475,0,0
5,10,19,7,951,305,1231,2475,0,0
5,10,20,1,951,313,1234,2475,0,0
5,10,21,2,954,307,1221,2475,0,0
5,10,23,4,954,312,1251,2475,0,0
5,10,24,5,956,311,1233,2475,0,0
5,10,25,6,952,310,1230,2475,0,0
5,10,27,1,955,341,1314,2475,15,1
5,10,28,2,953,336,1252,2475,0,0
5,10,29,3,954,331,1247,2475,0,0
5,10,30,4,953,327,1249,2475,0,0
5,10,31,5,956,323,1256,2475,0,0
5,10,9,4,922,308,1159,2248,291,1
5,10,31,5,909,299,1138,2248,257,1
5,10,1,3,900,188,1150,1391,0,0
5,10,4,6,900,204,1211,1391,21,1
5,10,8,3,931,193,1227,1391,68,1
5,10,17,5,912,193,1148,1391,12,1
5,10,19,7,915,187,1203,1391,28,1
5,10,22,3,933,183,1245,1391,88,1
5,10,28,2,900,208,1149,1391,0,0
5,10,25,6,913,136,1151,1089,57,1
6,10,3,5,955,124,1233,944,100,1
6,10,3,5,952,46,1056,264,7,1
6,10,3,5,921,215,1213,1521,0,0
6,10,2,4,922,41,1021,209,0,0
6,10,2,4,921,336,1230,2475,5,1
6,10,2,4,940,51,1056,264,0,0
6,10,2,4,936,202,1220,1521,18,1
6,10,2,4,900,96,1056,718,0,0
6,10,3,5,926,41,1027,209,0,0
6,10,3,5,924,320,1207,2475,0,0
6,10,6,1,919,224,1225,1521,9,1
6,10,6,1,918,107,1124,718,29,1
6,10,7,2,924,39,1024,209,0,0
6,10,7,2,927,344,1324,2475,59,1
6,10,7,2,938,48,1048,264,0,0
6,10,7,2,911,212,1213,1521,0,0
6,10,11,6,927,44,1036,209,0,0
6,10,11,6,928,327,1232,2475,7,1
6,10,11,6,940,49,1046,264,0,0
6,10,11,6,918,239,1236,1521,20,1
6,10,4,6,931,348,1251,2586,72,1
6,10,4,6,921,42,1028,209,0,0
6,10,4,6,927,333,1240,2475,15,1
6,10,4,6,942,50,1052,264,0,0
6,10,4,6,918,235,1242,1521,26,1
6,10,4,6,906,112,1132,718,25,1
6,10,8,3,926,45,1030,209,0,0
