FL_DATE,ARR_FLIGHTS,ARR_DEL15,ARR_DEL_PCT,DEP_FLIGHTS,DEP_DEL15,DEP_DEL_PCT
2014-03-09,276,35.0,12.681159420289855,276,43.0,15.579710144927537
2014-03-10,280,30.0,10.714285714285714,280,42.0,15.0
2014-03-11,275,17.0,6.181818181818182,275,21.0,7.636363636363637
2014-03-12,274,51.0,18.613138686131386,274,49.0,17.883211678832115
2014-03-13,280,83.0,29.642857142857142,280,77.0,27.5
2014-03-14,280,56.0,20.0,280,60.0,21.428571428571427
2014-03-15,255,24.0,9.411764705882353,255,23.0,9.019607843137255
2014-03-16,277,54.0,19.494584837545126,277,40.0,14.440433212996389
2014-03-17,280,94.0,33.57142857142857,280,51.0,18.214285714285715
2014-03-18,273,29.0,10.622710622710622,273,28.0,10.256410256410257
2014-03-19,272,52.0,19.11764705882353,272,52.0,19.11764705882353
2014-03-20,279,50.0,17.921146953405017,279,40.0,14.336917562724015
2014-03-21,278,59.0,21.223021582733814,278,23.0,8.273381294964029
2014-03-22,253,50.0,19.76284584980237,253,31.0,12.25296442687747
2014-03-23,275,56.0,20.363636363636363,275,17.0,6.181818181818182
2014-03-24,277,24.0,8.664259927797834,277,12.0,4.332129963898917
2014-03-25,273,35.0,12.820512820512821,273,31.0,11.355311355311356
2014-03-26,272,50.0,18.38235294117647,272,37.0,13.602941176470589
2014-03-27,278,26.0,9.352517985611511,278,25.0,8.992805755395683
2014-03-28,278,72.0,25.899280575539567,278,63.0,22.66187050359712
2014-03-29,251,94.0,37.45019920318725,251,79.0,31.47410358565737
2014-03-30,274,114.0,41.605839416058394,274,101.0,36.86131386861314
2014-03-31,274,104.0,37.956204379562045,274,84.0,30.656934306569344
2014-04-01,272,60.0,22.058823529411764,272,37.0,13.602941176470589
2014-04-02,270,44.0,16.296296296296298,270,20.0,7.407407407407407
2014-04-03,279,30.0,10.75268817204301,279,27.0,9.67741935483871
2014-04-04,280,136.0,48.57142857142857,280,72.0,25.714285714285715
2014-04-05,252,58.0,23.015873015873016,252,31.0,12.301587301587302
2014-04-06,275,65.0,23.636363636363637,275,37.0,13.454545454545455
2014-04-07,278,63.0,22.66187050359712,278,39.0,14.028776978417266
2014-04-08,272,123.0,45.220588235294116,272,64.0,23.529411764705884
2014-04-09,270,34.0,12.592592592592593,270,18.0,6.666666666666667
2014-04-10,279,37.0,13.261648745519713,279,33.0,11.827956989247312
2014-04-11,280,56.0,20.0,280,39.0,13.928571428571429
