LivingArea,NumBedrooms,Pool,ListPrice,DwellingType
2296,3,Community,875000,Townhouse
4800,5,Private,1299000,Single Family - Detached
2100,4,None,195490,Single Family - Detached
2242,3,None,315000,Single Family - Detached
1668,3,Private,239900,Single Family - Detached
5893,5,Private,824900,Single Family - Detached
2152,3,Community,145000,Single Family - Detached
2150,3,Community,175000,Single Family - Detached
2174,4,Private,300000,Single Family - Detached
1701,4,None,179990,Single Family - Detached
904,2,Both Private & Community,109500,Townhouse
1502,3,None,134900,Single Family - Detached
2135,4,Private,339500,Single Family - Detached
1170,3,None,169900,Single Family - Detached
1685,3,None,143900,Single Family - Detached
1338,2,Community,242000,Townhouse
2205,4,None,259999,Single Family - Detached
1816,4,None,153999,Single Family - Detached
3074,4,None,350000,Single Family - Detached
1096,3,Community,35000,Apartment Style/Flat
1570,3,Private,179000,Single Family - Detached
950,2,Community,32000,Apartment Style/Flat
1089,3,None,102500,Single Family - Detached
1585,3,None,225000,Townhouse
1096,3,Community,45000,Apartment Style/Flat
1522,3,None,166000,Single Family - Detached
2663,4,None,185000,Single Family - Detached
1254,2,Community,130000,Townhouse
2510,4,None,146000,Single Family - Detached
2113,3,None,369900,Single Family - Detached
2641,4,None,339808,Single Family - Detached
4043,4,None,374915,Single Family - Detached
1339,2,Community,159900,Single Family - Detached
1973,3,Community,255823,Single Family - Detached
2131,3,None,269500,Single Family - Detached
2113,4,None,172990,Single Family - Detached
1104,2,Community,209000,Townhouse
2831,3,Private,253900,Single Family - Detached
2034,3,None,259000,Single Family - Detached
1475,3,Private,292500,Single Family - Detached
2831,3,Private,250000,Single Family - Detached
1479,4,Community,124900,Townhouse
3777,5,Private,638000,Single Family - Detached
840,2,None,55900,Single Family - Detached
1567,3,Community,188900,Single Family - Detached
1544,3,Community,139500,Townhouse
1455,4,Private,173000,Single Family - Detached
1296,2,Community,69900,Mfg/Mobile Housing
1503,2,None,129500,Single Family - Detached
759,2,Both Private & Community,100000,Patio Home
1590,4,None,139500,Single Family - Detached
1092,3,None,100000,Single Family - Detached
1152,2,Community,137000,Apartment Style/Flat
1536,3,None,200000,Single Family - Detached
1022,2,Community,72500,Townhouse
884,2,Community,90900,Townhouse
1660,2,Community,297500,Single Family - Detached
1450,3,Private,107000,Single Family - Detached
3495,5,Private,450000,Single Family - Detached
1520,2,Community,349900,Apartment Style/Flat
1889,3,None,195000,Single Family - Detached
1372,3,None,118000,Single Family - Detached
1930,4,Private,169000,Single Family - Detached
1338,3,Private,185900,Single Family - Detached
900,2,None,225000,Single Family - Detached
2405,4,None,187500,Single Family - Detached
2103,4,None,162500,Single Family - Detached
1742,2,Community,179900,Gemini/Twin Home
1682,4,None,154888,Single Family - Detached
1586,3,Both Private & Community,196000,Single Family - Detached
1571,3,Community,174500,Townhouse
1800,3,None,322900,Single Family - Detached
1904,4,None,180000,Mfg/Mobile Housing
1353,3,Community,174000,Single Family - Detached
3503,5,None,411000,Single Family - Detached
2927,4,None,369999,Single Family - Detached
2691,4,Community,174900,Single Family - Detached
1676,2,Community,219900,Single Family - Detached
686,1,Community,27900,Apartment Style/Flat
3080,4,None,224439,Single Family - Detached
1660,3,Private,204000,Single Family - Detached
1864,3,None,169900,Single Family - Detached
5282,6,Private,2295000,Single Family - Detached
2292,3,None,185900,Single Family - Detached
1925,4,None,147000,Single Family - Detached
2500,4,None,186900,Single Family - Detached
3161,3,Community,468000,Single Family - Detached
3420,5,None,238982,Single Family - Detached
1888,3,Private,143000,Single Family - Detached
1044,2,Community,49400,Apartment Style/Flat
2546,5,None,174900,Single Family - Detached
1249,3,None,155000,Single Family - Detached
3600,4,Private,1250000,Single Family - Detached
2553,4,None,290000,Single Family - Detached
6772,5,Both Private & Community,3550000,Single Family - Detached
2222,5,None,147900,Single Family - Detached
1136,2,Community,219900,Single Family - Detached
2901,4,Private,775000,Single Family - Detached
1999,3,None,230000,Single Family - Detached
1064,3,None,154900,Single Family - Detached
3087,4,Private,425000,Single Family - Detached
3881,4,Private,699000,Single Family - Detached
1956,3,Private,209900,Single Family - Detached
3229,5,None,415000,Single Family - Detached
1939,3,None,203900,Single Family - Detached
1143,2,Community,154900,Apartment Style/Flat
2229,4,None,189000,Single Family - Detached
3930,7,None,314900,Single Family - Detached
1162,2,None,142000,Mfg/Mobile Housing
1035,2,Community,135000,Apartment Style/Flat
1334,2,Community,152700,Single Family - Detached
1322,2,Community,119000,Single Family - Detached
2581,4,None,169900,Single Family - Detached
1465,2,Community,154875,Single Family - Detached
920,2,Community,93000,Townhouse
1253,2,Community,137500,Single Family - Detached
2018,4,Both Private & Community,257900,Single Family - Detached
3480,4,Private,374999,Single Family - Detached
1437,2,Community,329000,Apartment Style/Flat
1135,2,Community,113000,Townhouse
1420,3,Private,224900,Single Family - Detached
1135,2,Community,113000,Townhouse
1852,4,Private,174900,Single Family - Detached
2155,3,Private,364900,Single Family - Detached
1486,3,None,165000,Single Family - Detached
2203,4,Both Private & Community,208900,Single Family - Detached
2826,3,Private,690000,Single Family - Detached
1831,4,None,137450,Single Family - Detached
1276,3,None,125000,Single Family - Detached
2451,5,Both Private & Community,350700,Single Family - Detached
